bridge_rule,slr_ft,metric,value,unit,universe,population_count_type,reference_value,delta,record_type,baseline_status,scenario_status,block_count,population
approach,0,baseline_status_inundated_blocks,93.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,0,baseline_status_inundated_population,20053.0,persons,analysis_universe,person_scenario,,,headline,,,,
approach,0,baseline_status_inundated_population,20053.0,persons,analysis_universe,unique_person,,,headline,,,,
approach,0,baseline_status_unclassified_blocks,0.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,0,baseline_status_unclassified_population,0.0,persons,analysis_universe,person_scenario,,,headline,,,,
approach,0,baseline_status_unclassified_population,0.0,persons,analysis_universe,unique_person,,,headline,,,,
approach,0,baseline_fragile_share,0.26537982340513894,share,analysis_universe,not_applicable,0.247,0.01837982340513894,headline,,,,
approach,0,new_fragile_blocks,0.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,0,new_fragile_population,0.0,persons,analysis_universe,person_scenario,,,headline,,,,
approach,0,new_fragile_population,0.0,persons,analysis_universe,unique_person,,,headline,,,,
approach,0,new_isolated_blocks,0.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,0,new_isolated_population,0.0,persons,analysis_universe,person_scenario,,,headline,,,,
approach,0,new_isolated_population,0.0,persons,analysis_universe,unique_person,,,headline,,,,
approach,0,new_inundated_blocks,0.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,0,new_inundated_population,0.0,persons,analysis_universe,person_scenario,,,headline,,,,
approach,0,new_inundated_population,0.0,persons,analysis_universe,unique_person,,,headline,,,,
approach,1,new_fragile_blocks,3.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,1,new_fragile_population,56.0,persons,analysis_universe,person_scenario,,,headline,,,,
approach,1,new_fragile_population,56.0,persons,analysis_universe,unique_person,,,headline,,,,
approach,1,new_isolated_blocks,13.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,1,new_isolated_population,614.0,persons,analysis_universe,person_scenario,,,headline,,,,
