bridge_rule,slr_ft,metric,value,unit,universe,population_count_type,reference_value,delta
approach,0,new_isolated_population,0.0,persons,analysis_universe,person_scenario,,
approach,0,new_isolated_population,0.0,persons,analysis_universe,unique_person,,
approach,0,new_inundated_blocks,0.0,blocks,analysis_universe,not_applicable,,
approach,0,new_inundated_population,0.0,persons,analysis_universe,person_scenario,,
approach,0,new_inundated_population,0.0,persons,analysis_universe,unique_person,,
approach,1,new_fragile_blocks,3.0,blocks,analysis_universe,not_applicable,,
approach,1,new_fragile_population,56.0,persons,analysis_universe,person_scenario,,
approach,1,new_fragile_population,56.0,persons,analysis_universe,unique_person,,
approach,1,new_isolated_blocks,13.0,blocks,analysis_universe,not_applicable,,
approach,1,new_isolated_population,614.0,persons,analysis_universe,person_scenario,,
approach,1,new_isolated_population,614.0,persons,analysis_universe,unique_person,,
approach,1,new_inundated_blocks,27.0,blocks,analysis_universe,not_applicable,,
approach,1,new_inundated_population,4853.0,persons,analysis_universe,person_scenario,,
approach,1,new_inundated_population,4853.0,persons,analysis_universe,unique_person,,
approach,2,new_fragile_blocks,160.0,blocks,analysis_universe,not_applicable,,
approach,2,new_fragile_population,12988.0,persons,analysis_universe,person_scenario,,
approach,2,new_fragile_population,12988.0,persons,analysis_universe,unique_person,,
approach,2,new_isolated_blocks,323.0,blocks,analysis_universe,not_applicable,,
approach,2,new_isolated_population,34349.0,persons,analysis_universe,person_scenario,,
approach,2,new_isolated_population,34349.0,persons,analysis_universe,unique_person,,
approach,2,new_inundated_blocks,155.0,blocks,analysis_universe,not_applicable,,
approach,2,new_inundated_population,17435.0,persons,analysis_universe,person_scenario,,
approach,2,new_inundated_population,17435.0,persons,analysis_universe,unique_person,,
approach,3,new_fragile_blocks,380.0,blocks,analysis_universe,not_applicable,,
approach,3,new_fragile_population,40500.0,persons,analysis_universe,person_scenario,,
approach,3,new_fragile_population,40500.0,persons,analysis_universe,unique_person,,
approach,3,new_isolated_blocks,1050.0,blocks,analysis_universe,not_applicable,,
approach,3,new_isolated_population,152560.0,persons,analysis_universe,person_scenario,,
approach,3,new_isolated_population,152560.0,persons,analysis_universe,unique_person,,
approach,3,new_inundated_blocks,758.0,blocks,analysis_universe,not_applicable,,
approach,3,new_inundated_population,86305.0,persons,analysis_universe,person_scenario,,
approach,3,new_inundated_population,86305.0,persons,analysis_universe,unique_person,,
approach,4,new_fragile_blocks,560.0,blocks,analysis_universe,not_applicable,,
approach,4,new_fragile_population,57430.0,persons,analysis_universe,person_scenario,,
approach,4,new_fragile_population,57430.0,persons,analysis_universe,unique_person,,
approach,4,new_isolated_blocks,1639.0,blocks,analysis_universe,not_applicable,,
approach,4,new_isolated_population,239712.0,persons,analysis_universe,person_scenario,,
approach,4,new_isolated_population,239712.0,persons,analysis_universe,unique_person,,
approach,4,new_inundated_blocks,2001.0,blocks,analysis_universe,not_applicable,,
approach,4,new_inundated_population,251366.0,persons,analysis_universe,person_scenario,,
approach,4,new_inundated_population,251366.0,persons,analysis_universe,unique_person,,
approach,5,new_fragile_blocks,896.0,blocks,analysis_universe,not_applicable,,
approach,5,new_fragile_population,82627.0,persons,analysis_universe,person_scenario,,
approach,5,new_fragile_population,82627.0,persons,analysis_universe,unique_person,,
approach,5,new_isolated_blocks,2867.0,blocks,analysis_universe,not_applicable,,
approach,5,new_isolated_population,353839.0,persons,analysis_universe,person_scenario,,
approach,5,new_isolated_population,353839.0,persons,analysis_universe,unique_person,,
approach,5,new_inundated_blocks,4690.0,blocks,analysis_universe,not_applicable,,
approach,5,new_inundated_population,575265.0,persons,analysis_universe,person_scenario,,
approach,5,new_inundated_population,575265.0,persons,analysis_universe,unique_person,,
approach,6,new_fragile_blocks,923.0,blocks,analysis_universe,not_applicable,,
approach,6,new_fragile_population,90028.0,persons,analysis_universe,person_scenario,,
approach,6,new_fragile_population,90028.0,persons,analysis_universe,unique_person,,
approach,6,new_isolated_blocks,5408.0,blocks,analysis_universe,not_applicable,,
approach,6,new_isolated_population,641766.0,persons,analysis_universe,person_scenario,,
approach,6,new_isolated_population,641766.0,persons,analysis_universe,unique_person,,
approach,6,new_inundated_blocks,10301.0,blocks,analysis_universe,not_applicable,,
approach,6,new_inundated_population,1326887.0,persons,analysis_universe,person_scenario,,
approach,6,new_inundated_population,1326887.0,persons,analysis_universe,unique_person,,
approach,1,cumulative_newly_affected_population,5523.0,persons,analysis_universe,person_scenario,,
approach,1,cumulative_newly_affected_population,5523.0,persons,analysis_universe,unique_person,,
approach,2,cumulative_newly_affected_population,70295.0,persons,analysis_universe,person_scenario,,
approach,2,cumulative_newly_affected_population,64772.0,persons,analysis_universe,unique_person,,
approach,3,cumulative_newly_affected_population,349660.0,persons,analysis_universe,person_scenario,,
approach,3,cumulative_newly_affected_population,279365.0,persons,analysis_universe,unique_person,,
approach,4,cumulative_newly_affected_population,898168.0,persons,analysis_universe,person_scenario,,
approach,4,cumulative_newly_affected_population,548508.0,persons,analysis_universe,unique_person,,
approach,5,cumulative_newly_affected_population,1909899.0,persons,analysis_universe,person_scenario,,
approach,5,cumulative_newly_affected_population,1011731.0,persons,analysis_universe,unique_person,,
approach,6,cumulative_newly_affected_population,3968580.0,persons,analysis_universe,person_scenario,660000.0,3308580.0
